title	slug
Christofides algorithm	rc-christofides-algorithm
Church numerals	rc-church-numerals
Circles of given radius through two points	rc-circles-of-given-radius-through-two-points
Cistercian numerals	rc-cistercian-numerals
Closures/Value capture	rc-closures-value-capture
Cocke–Younger–Kasami (CYK) Algorithm	rc-cocke-younger-kasami-cyk-algorithm
Colorful numbers	rc-colorful-numbers
Colour bars/Display	rc-colour-bars-display
Colour pinstripe/Printer	rc-colour-pinstripe-printer
Comma quibbling	rc-comma-quibbling
Command-line arguments	rc-command-line-arguments
Compare a list of strings	rc-compare-a-list-of-strings
Compile-time calculation	rc-compile-time-calculation
Compiler/AST interpreter	rc-compiler-ast-interpreter
Compiler/code generator	rc-compiler-code-generator
Compiler/lexical analyzer	rc-compiler-lexical-analyzer
Compiler/Simple file inclusion pre processor	rc-compiler-simple-file-inclusion-pre-processor
Compiler/syntax analyzer	rc-compiler-syntax-analyzer
Compiler/virtual machine interpreter	rc-compiler-virtual-machine-interpreter
Composite numbers k with no single digit factors whose factors are all substrings of k	rc-composite-numbers-k-with-no-single-digit-factors-whose-factors-are-all-substrings-of-k
Conjugate transpose	rc-conjugate-transpose
Continued fraction	rc-continued-fraction
Continued fraction/Arithmetic/Construct from rational number	rc-continued-fraction-arithmetic-construct-from-rational-number
Continued fraction/Arithmetic/G(matrix ng, continued fraction n)	rc-continued-fraction-arithmetic-g-matrix-ng-continued-fraction-n
Convert decimal number to rational	rc-convert-decimal-number-to-rational
Convert seconds to compound duration	rc-convert-seconds-to-compound-duration
Copy stdin to stdout	rc-copy-stdin-to-stdout
Count the coins	rc-count-the-coins
Create an HTML table	rc-create-an-html-table
CSV data manipulation	rc-csv-data-manipulation
CSV to HTML translation	rc-csv-to-html-translation
Cullen and Woodall numbers	rc-cullen-and-woodall-numbers
Currency	rc-currency
Currying	rc-currying
Curzon numbers	rc-curzon-numbers
Cut a rectangle	rc-cut-a-rectangle
Cycles of a permutation	rc-cycles-of-a-permutation
Cyclotomic polynomial	rc-cyclotomic-polynomial
Damm algorithm	rc-damm-algorithm
Dating agency	rc-dating-agency
De Bruijn sequences	rc-de-bruijn-sequences
De Polignac numbers	rc-de-polignac-numbers
Deceptive numbers	rc-deceptive-numbers
Decorate-sort-undecorate idiom	rc-decorate-sort-undecorate-idiom
Deepcopy	rc-deepcopy
Deming's funnel	rc-deming-s-funnel
Department numbers	rc-department-numbers
Descending primes	rc-descending-primes
Detect division by zero	rc-detect-division-by-zero
Determinant and permanent	rc-determinant-and-permanent
Determine if a string has all the same characters	rc-determine-if-a-string-has-all-the-same-characters
Determine if a string has all unique characters	rc-determine-if-a-string-has-all-unique-characters
Determine if a string is collapsible	rc-determine-if-a-string-is-collapsible
Determine if a string is squeezable	rc-determine-if-a-string-is-squeezable
Determine if two triangles overlap	rc-determine-if-two-triangles-overlap
Dice game probabilities	rc-dice-game-probabilities
Digital root	rc-digital-root
Disarium numbers	rc-disarium-numbers
Display a linear combination	rc-display-a-linear-combination
Display an outline as a nested table	rc-display-an-outline-as-a-nested-table
Distance and Bearing	rc-distance-and-bearing
Diversity prediction theorem	rc-diversity-prediction-theorem
Doomsday rule	rc-doomsday-rule
Dot product	rc-dot-product
Draw a clock	rc-draw-a-clock
Draw a rotating cube	rc-draw-a-rotating-cube
Draw a sphere	rc-draw-a-sphere
Duffinian numbers	rc-duffinian-numbers
Dutch national flag problem	rc-dutch-national-flag-problem
Earliest difference between prime gaps	rc-earliest-difference-between-prime-gaps
Eban numbers	rc-eban-numbers
Eertree	rc-eertree
Egyptian division	rc-egyptian-division
EKG sequence convergence	rc-ekg-sequence-convergence
Elementary cellular automaton	rc-elementary-cellular-automaton
Elementary cellular automaton/Infinite length	rc-elementary-cellular-automaton-infinite-length
Elementary cellular automaton/Random number generator	rc-elementary-cellular-automaton-random-number-generator
Elliptic curve arithmetic	rc-elliptic-curve-arithmetic
Empty directory	rc-empty-directory
Empty string	rc-empty-string
Engel expansion	rc-engel-expansion
Entropy/Narcissist	rc-entropy-narcissist
Equal prime and composite sums	rc-equal-prime-and-composite-sums
Equilibrium index	rc-equilibrium-index
Erdös-Selfridge categorization of primes	rc-erd-s-selfridge-categorization-of-primes
Erdős-Nicolas numbers	rc-erd-s-nicolas-numbers
Erdős–Woods numbers	rc-erd-s-woods-numbers
Esthetic numbers	rc-esthetic-numbers
Euclid-Mullin sequence	rc-euclid-mullin-sequence
Euclidean rhythm	rc-euclidean-rhythm
Euler's identity	rc-euler-s-identity
Euler's sum of powers conjecture	rc-euler-s-sum-of-powers-conjecture
Even or odd	rc-even-or-odd
Evolutionary algorithm	rc-evolutionary-algorithm
Executable library	rc-executable-library
Execute Brain****	rc-execute-brain
Execute Computer/Zero	rc-execute-computer-zero
Execute HQ9+	rc-execute-hq9
Execute SNUSP	rc-execute-snusp
Exponential digital sums	rc-exponential-digital-sums
Exponentiation order	rc-exponentiation-order
Exponentiation with infix operators in (or operating on) the base	rc-exponentiation-with-infix-operators-in-or-operating-on-the-base
Extend your language	rc-extend-your-language
Extreme floating point values	rc-extreme-floating-point-values
Faces from a mesh	rc-faces-from-a-mesh
Factorial base numbers indexing permutations of a collection	rc-factorial-base-numbers-indexing-permutations-of-a-collection
Factorial primes	rc-factorial-primes
Factorions	rc-factorions
Factorize string into Lyndon words	rc-factorize-string-into-lyndon-words
Fairshare between two and more	rc-fairshare-between-two-and-more
Farey sequence	rc-farey-sequence
Fast Fourier transform	rc-fast-fourier-transform
FASTA format	rc-fasta-format
Feigenbaum constant calculation	rc-feigenbaum-constant-calculation
Fermat pseudoprimes	rc-fermat-pseudoprimes
Fibonacci n-step number sequences	rc-fibonacci-n-step-number-sequences
Fibonacci word	rc-fibonacci-word
File extension is in extensions list	rc-file-extension-is-in-extensions-list
File size distribution	rc-file-size-distribution
Find Chess960 starting position identifier	rc-find-chess960-starting-position-identifier
Find duplicate files	rc-find-duplicate-files
Find if a point is within a triangle	rc-find-if-a-point-is-within-a-triangle
Find limit of recursion	rc-find-limit-of-recursion
Find palindromic numbers in both binary and ternary bases	rc-find-palindromic-numbers-in-both-binary-and-ternary-bases
Find the intersection of a line with a plane	rc-find-the-intersection-of-a-line-with-a-plane
Find the intersection of two lines	rc-find-the-intersection-of-two-lines
Find the last Sunday of each month	rc-find-the-last-sunday-of-each-month
Find the missing permutation	rc-find-the-missing-permutation
First perfect square in base n with n unique digits	rc-first-perfect-square-in-base-n-with-n-unique-digits
First power of 2 that has leading decimal digits of 12	rc-first-power-of-2-that-has-leading-decimal-digits-of-12
First-class functions/Use numbers analogously	rc-first-class-functions-use-numbers-analogously
Fivenum	rc-fivenum
Fixed length records	rc-fixed-length-records
Flatten a list	rc-flatten-a-list
Flipping bits game	rc-flipping-bits-game
Floyd's triangle	rc-floyd-s-triangle
Forbidden numbers	rc-forbidden-numbers
Four bit adder	rc-four-bit-adder
Four is magic	rc-four-is-magic
Four is the number of letters in the ...	rc-four-is-the-number-of-letters-in-the
French Republican calendar	rc-french-republican-calendar
Function prototype	rc-function-prototype
Functional coverage tree	rc-functional-coverage-tree
Fusc sequence	rc-fusc-sequence
Gabow's algorithm	rc-gabow-s-algorithm
Gapful numbers	rc-gapful-numbers
Gauss-Jordan matrix inversion	rc-gauss-jordan-matrix-inversion
Gaussian elimination	rc-gaussian-elimination
Gaussian primes	rc-gaussian-primes
Generate Chess960 starting position	rc-generate-chess960-starting-position
Generate random chess position	rc-generate-random-chess-position
Generator/Exponential	rc-generator-exponential
Get system command output	rc-get-system-command-output
Giuga numbers	rc-giuga-numbers
Globally replace text in several files	rc-globally-replace-text-in-several-files
Gosper's hack	rc-gosper-s-hack
Gotchas	rc-gotchas
Graph colouring	rc-graph-colouring
Gray code	rc-gray-code
Greatest prime dividing the n-th cubefree number	rc-greatest-prime-dividing-the-n-th-cubefree-number
Greatest subsequential sum	rc-greatest-subsequential-sum
Greedy algorithm for Egyptian fractions	rc-greedy-algorithm-for-egyptian-fractions
Greyscale bars/Display	rc-greyscale-bars-display
Hailstone sequence	rc-hailstone-sequence
Halt and catch fire	rc-halt-and-catch-fire
Hamiltonian Cycle via Chvátal Closure	rc-hamiltonian-cycle-via-chv-tal-closure
Harmonic series	rc-harmonic-series
Harriss Spiral	rc-harriss-spiral
Harshad or Niven series	rc-harshad-or-niven-series
Hash join	rc-hash-join
Hashtron inference	rc-hashtron-inference
Haversine formula	rc-haversine-formula
Held–Karp algorithm	rc-held-karp-algorithm
Hello world/Line printer	rc-hello-world-line-printer
Hello world/Newbie	rc-hello-world-newbie
Here document	rc-here-document
Heronian triangles	rc-heronian-triangles
Hex dump	rc-hex-dump
Hex words	rc-hex-words
Hickerson series of almost integers	rc-hickerson-series-of-almost-integers
History variables	rc-history-variables
Hofstadter Figure-Figure sequences	rc-hofstadter-figure-figure-sequences
Hofstadter Q sequence	rc-hofstadter-q-sequence
Hofstadter-Conway $10,000 sequence	rc-hofstadter-conway-10-000-sequence
Honaker primes	rc-honaker-primes
Honeycombs	rc-honeycombs
Hopcroft-Karp Algorithm	rc-hopcroft-karp-algorithm
Horner's rule for polynomial evaluation	rc-horner-s-rule-for-polynomial-evaluation
Horse racing	rc-horse-racing
I before E except after C	rc-i-before-e-except-after-c
I'm a software engineer, get me out of here	rc-i-m-a-software-engineer-get-me-out-of-here
Iccanobif primes	rc-iccanobif-primes
Identity matrix	rc-identity-matrix
Idiomatically determine all the characters that can be used for symbols	rc-idiomatically-determine-all-the-characters-that-can-be-used-for-symbols
Idiomatically determine all the lowercase and uppercase letters	rc-idiomatically-determine-all-the-lowercase-and-uppercase-letters
Idoneal numbers	rc-idoneal-numbers
Imaginary base numbers	rc-imaginary-base-numbers
Include a file	rc-include-a-file
Inconsummate numbers in base 10	rc-inconsummate-numbers-in-base-10
Increasing gaps between consecutive Niven numbers	rc-increasing-gaps-between-consecutive-niven-numbers
Index finite lists of positive integers	rc-index-finite-lists-of-positive-integers
Inner classes	rc-inner-classes
Integer overflow	rc-integer-overflow
Integer sequence	rc-integer-sequence
Intersecting number wheels	rc-intersecting-number-wheels
Inventory sequence	rc-inventory-sequence
Inverted syntax	rc-inverted-syntax
ISBN13 check digit	rc-isbn13-check-digit
Isograms and heterograms	rc-isograms-and-heterograms
Isqrt (integer square root) of X	rc-isqrt-integer-square-root-of-x
Iterated digits squaring	rc-iterated-digits-squaring
Jacobi symbol	rc-jacobi-symbol
Jacobsthal numbers	rc-jacobsthal-numbers
Jaro similarity	rc-jaro-similarity
Jewels and stones	rc-jewels-and-stones
Johnson's algorithm	rc-johnson-s-algorithm
Jordan-Pólya numbers	rc-jordan-p-lya-numbers
JSON	rc-json
JSON pointer	rc-json-pointer
Juggler sequence	rc-juggler-sequence
Jump anywhere	rc-jump-anywhere
Jury stability criterion	rc-jury-stability-criterion
K-d tree	rc-k-d-tree
Kaprekar numbers	rc-kaprekar-numbers
Kernighans large earthquake problem	rc-kernighans-large-earthquake-problem
Keyboard input/Obtain a Y or N response	rc-keyboard-input-obtain-a-y-or-n-response
Kirkpatrick–Seidel algorithm	rc-kirkpatrick-seidel-algorithm
Klarner-Rado sequence	rc-klarner-rado-sequence
Knight's tour	rc-knight-s-tour
Knuth's algorithm S	rc-knuth-s-algorithm-s
Koch curve	rc-koch-curve
Kolakoski sequence	rc-kolakoski-sequence
Kosaraju	rc-kosaraju
Lah numbers	rc-lah-numbers
Largest int from concatenated ints	rc-largest-int-from-concatenated-ints
Largest number divisible by its digits	rc-largest-number-divisible-by-its-digits
Largest proper divisor of n	rc-largest-proper-divisor-of-n
Last Friday of each month	rc-last-friday-of-each-month
Last letter-first letter	rc-last-letter-first-letter
Latin Squares in reduced form	rc-latin-squares-in-reduced-form
Latin Squares in reduced form/Randomizing using Jacobson and Matthews' technique	rc-latin-squares-in-reduced-form-randomizing-using-jacobson-and-matthews-technique
Law of cosines - triples	rc-law-of-cosines-triples
Least common multiple	rc-least-common-multiple
Least m such that n! + m is prime	rc-least-m-such-that-n-m-is-prime
Left factorials	rc-left-factorials
Levenshtein distance	rc-levenshtein-distance
Levenshtein distance/Alignment	rc-levenshtein-distance-alignment
List rooted trees	rc-list-rooted-trees
Long literals, with continuations	rc-long-literals-with-continuations
Long year	rc-long-year
Longest common subsequence	rc-longest-common-subsequence
Longest common substring	rc-longest-common-substring
Longest increasing subsequence	rc-longest-increasing-subsequence
Lucky and even lucky numbers	rc-lucky-and-even-lucky-numbers
Lychrel numbers	rc-lychrel-numbers
Lyndon word	rc-lyndon-word
MAC vendor lookup	rc-mac-vendor-lookup
Machine code	rc-machine-code
Mad Libs	rc-mad-libs
Magic 8-ball	rc-magic-8-ball
Magic constant	rc-magic-constant
Magic numbers	rc-magic-numbers
Magic squares of doubly even order	rc-magic-squares-of-doubly-even-order
Magic squares of odd order	rc-magic-squares-of-odd-order
Magic squares of singly even order	rc-magic-squares-of-singly-even-order
Map range	rc-map-range
Matrix digital rain	rc-matrix-digital-rain
Maximum triangle path sum	rc-maximum-triangle-path-sum
Mayan calendar	rc-mayan-calendar
McNuggets problem	rc-mcnuggets-problem
MD4	rc-md4
Meissel-Mertens constant	rc-meissel-mertens-constant
Memory layout of a data structure	rc-memory-layout-of-a-data-structure
Metallic ratios	rc-metallic-ratios
Metaprogramming	rc-metaprogramming
Metronome	rc-metronome
Mian-Chowla sequence	rc-mian-chowla-sequence
Middle three digits	rc-middle-three-digits
Mind boggling card trick	rc-mind-boggling-card-trick
Minimal steps down to 1	rc-minimal-steps-down-to-1
Minimum multiple of m where digital sum equals m	rc-minimum-multiple-of-m-where-digital-sum-equals-m
Minimum positive multiple in base 10 using only 0 and 1	rc-minimum-positive-multiple-in-base-10-using-only-0-and-1
Minkowski question-mark function	rc-minkowski-question-mark-function
Modified random distribution	rc-modified-random-distribution
Modular arithmetic	rc-modular-arithmetic
Modular exponentiation	rc-modular-exponentiation
Modular inverse	rc-modular-inverse
Monads/List monad	rc-monads-list-monad
Monads/Maybe monad	rc-monads-maybe-monad
Monads/Writer monad	rc-monads-writer-monad
Motor	rc-motor
Move-to-front algorithm	rc-move-to-front-algorithm
Multi-dimensional array	rc-multi-dimensional-array
Multifactorial	rc-multifactorial
Multiple distinct objects	rc-multiple-distinct-objects
Multisplit	rc-multisplit
Multiton	rc-multiton
Munchausen numbers	rc-munchausen-numbers
Musical scale	rc-musical-scale
Mutex	rc-mutex
N-queens problem	rc-n-queens-problem
Narcissist	rc-narcissist
Narcissistic decimal number	rc-narcissistic-decimal-number
Nautical bell	rc-nautical-bell
Negative base numbers	rc-negative-base-numbers
Nested function	rc-nested-function
Nested templated data	rc-nested-templated-data
Next highest int from digits	rc-next-highest-int-from-digits
Nim game	rc-nim-game
Non-transitive dice	rc-non-transitive-dice
Nonoblock	rc-nonoblock
Nonogram solver	rc-nonogram-solver
Numbers divisible by their individual digits, but not by the product of their digits	rc-numbers-divisible-by-their-individual-digits-but-not-by-the-product-of-their-digits
Numbers k such that the last letter of k is the same as the first letter of k+1	rc-numbers-k-such-that-the-last-letter-of-k-is-the-same-as-the-first-letter-of-k-1
Numbers which are not the sum of distinct squares	rc-numbers-which-are-not-the-sum-of-distinct-squares
Numbers which are the cube roots of the product of their proper divisors	rc-numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors
Numbers with equal rises and falls	rc-numbers-with-equal-rises-and-falls
Numeric error propagation	rc-numeric-error-propagation
Numerical and alphabetical suffixes	rc-numerical-and-alphabetical-suffixes
O'Halloran numbers	rc-o-halloran-numbers
Odd and square numbers	rc-odd-and-square-numbers
Odd word problem	rc-odd-word-problem
Old lady swallowed a fly	rc-old-lady-swallowed-a-fly
Old Russian measure of length	rc-old-russian-measure-of-length
One of n lines in a file	rc-one-of-n-lines-in-a-file
One-time pad	rc-one-time-pad
One-two primes	rc-one-two-primes
OpenWebNet password	rc-openwebnet-password
Operator precedence	rc-operator-precedence
Order two numerical lists	rc-order-two-numerical-lists
Ormiston pairs	rc-ormiston-pairs
Ormiston triples	rc-ormiston-triples
Own digits power sum	rc-own-digits-power-sum
Padovan n-step number sequences	rc-padovan-n-step-number-sequences
Padovan sequence	rc-padovan-sequence
Pairs with common factors	rc-pairs-with-common-factors
Palindrome dates	rc-palindrome-dates
Palindromic gapful numbers	rc-palindromic-gapful-numbers
Pan base non-primes	rc-pan-base-non-primes
Pancake numbers	rc-pancake-numbers
Pangram checker	rc-pangram-checker
Paraffins	rc-paraffins
Parse an IP Address	rc-parse-an-ip-address
Parsing/RPN calculator algorithm	rc-parsing-rpn-calculator-algorithm
Parsing/RPN to infix conversion	rc-parsing-rpn-to-infix-conversion
Parsing/Shunting-yard algorithm	rc-parsing-shunting-yard-algorithm
Particle fountain	rc-particle-fountain
Pascal's triangle/Puzzle	rc-pascal-s-triangle-puzzle
Passphrase generator	rc-passphrase-generator
Password generator	rc-password-generator
Pathological floating point problems	rc-pathological-floating-point-problems
Peaceful chess queen armies	rc-peaceful-chess-queen-armies
Pell numbers	rc-pell-numbers
Penholodigital squares	rc-penholodigital-squares
Penta-power prime seeds	rc-penta-power-prime-seeds
Pentagram	rc-pentagram
Pentomino tiling	rc-pentomino-tiling
Perfect shuffle	rc-perfect-shuffle
Perfect totient numbers	rc-perfect-totient-numbers
Periodic table	rc-periodic-table
Peripheral drift illusion	rc-peripheral-drift-illusion
Perlin noise	rc-perlin-noise
Permutations by swapping	rc-permutations-by-swapping
Permutations/Derangements	rc-permutations-derangements
Permutations/Rank of a permutation	rc-permutations-rank-of-a-permutation
Phrase reversals	rc-phrase-reversals
Pi to 1 million digits	rc-pi-to-1-million-digits
Pig the dice game	rc-pig-the-dice-game
Pig the dice game/Player	rc-pig-the-dice-game-player
Pinstripe/Printer	rc-pinstripe-printer
Piprimes	rc-piprimes
Plasma effect	rc-plasma-effect
Playfair cipher	rc-playfair-cipher
Plot coordinate pairs	rc-plot-coordinate-pairs
Poker hand analyser	rc-poker-hand-analyser
Polyspiral	rc-polyspiral
Population count	rc-population-count
Pragmatic directives	rc-pragmatic-directives
Prime numbers whose neighboring pairs are tetraprimes	rc-prime-numbers-whose-neighboring-pairs-are-tetraprimes
Prime reciprocal sum	rc-prime-reciprocal-sum
Prime triangle	rc-prime-triangle
Primes: n*2^m+1	rc-primes-n-2-m-1
Priority queue	rc-priority-queue
Product of min and max prime factors	rc-product-of-min-and-max-prime-factors
Pseudo-random numbers/Combined recursive generator MRG32k3a	rc-pseudo-random-numbers-combined-recursive-generator-mrg32k3a
Pseudo-random numbers/Middle-square method	rc-pseudo-random-numbers-middle-square-method
Pseudo-random numbers/PCG32	rc-pseudo-random-numbers-pcg32
Pseudo-random numbers/Xorshift star	rc-pseudo-random-numbers-xorshift-star
Punched cards	rc-punched-cards
Pythagorean quadruples	rc-pythagorean-quadruples
Pythagorean triples	rc-pythagorean-triples
Quad-power prime seeds	rc-quad-power-prime-seeds
Quaternion	rc-quaternion
Quine	rc-quine
Quine–McCluskey algorithm	rc-quine-mccluskey-algorithm
Quoting constructs	rc-quoting-constructs
Radical of an integer	rc-radical-of-an-integer
Ramanujan's constant	rc-ramanujan-s-constant
Ramer-Douglas-Peucker line simplification	rc-ramer-douglas-peucker-line-simplification
Random Latin squares	rc-random-latin-squares
Random number generator (device)	rc-random-number-generator-device
Random number generator (included)	rc-random-number-generator-included
Random sentence from book	rc-random-sentence-from-book
Range consolidation	rc-range-consolidation
Range expansion	rc-range-expansion
Range extraction	rc-range-extraction
Rate counter	rc-rate-counter
Rational calculator	rc-rational-calculator
Read a specific line from a file	rc-read-a-specific-line-from-a-file
Recaman's sequence	rc-recaman-s-sequence
Remove lines from a file	rc-remove-lines-from-a-file
Rep-string	rc-rep-string
Repeat	rc-repeat
Repunit primes	rc-repunit-primes
Resistor mesh	rc-resistor-mesh
Reverse words in a string	rc-reverse-words-in-a-string
Rhonda numbers	rc-rhonda-numbers
Riordan numbers	rc-riordan-numbers
RIPEMD-160	rc-ripemd-160
Roman numerals/Decode	rc-roman-numerals-decode
Roman numerals/Encode	rc-roman-numerals-encode
Rosetta Code/Rank languages by number of users	rc-rosetta-code-rank-languages-by-number-of-users
Round-robin tournament schedule	rc-round-robin-tournament-schedule
Routh–Hurwitz stability criterion	rc-routh-hurwitz-stability-criterion
RPG attributes generator	rc-rpg-attributes-generator
Runge-Kutta method	rc-runge-kutta-method
Runtime evaluation	rc-runtime-evaluation
Runtime evaluation/In an environment	rc-runtime-evaluation-in-an-environment
Ruth-Aaron numbers	rc-ruth-aaron-numbers
Sailors, coconuts and a monkey problem	rc-sailors-coconuts-and-a-monkey-problem
Same fringe	rc-same-fringe
Schieber-Vishkin algorithm	rc-schieber-vishkin-algorithm
Sealed classes and methods	rc-sealed-classes-and-methods
Search in paragraph's text	rc-search-in-paragraph-s-text
Selectively replace multiple instances of a character within a string	rc-selectively-replace-multiple-instances-of-a-character-within-a-string
Self numbers	rc-self-numbers
Self-describing numbers	rc-self-describing-numbers
Semordnilap	rc-semordnilap
Sequence: nth number with exactly n divisors	rc-sequence-nth-number-with-exactly-n-divisors
Sequence: smallest number greater than previous term with exactly n divisors	rc-sequence-smallest-number-greater-than-previous-term-with-exactly-n-divisors
Sequence: smallest number with exactly n divisors	rc-sequence-smallest-number-with-exactly-n-divisors
Set consolidation	rc-set-consolidation
Set of real numbers	rc-set-of-real-numbers
Set right-adjacent bits	rc-set-right-adjacent-bits
Set, the card game	rc-set-the-card-game
SHA-1	rc-sha-1
Shoelace formula for polygonal area	rc-shoelace-formula-for-polygonal-area
Shortest common supersequence	rc-shortest-common-supersequence
Show ASCII table	rc-show-ascii-table
Show the epoch	rc-show-the-epoch
Sierpinski pentagon	rc-sierpinski-pentagon
Sierpinski triangle/Graphical	rc-sierpinski-triangle-graphical
Simple turtle graphics	rc-simple-turtle-graphics
Singular value decomposition	rc-singular-value-decomposition
Sisyphus sequence	rc-sisyphus-sequence
Smallest number k such that k+2^m is composite for all m less than k	rc-smallest-number-k-such-that-k-2-m-is-composite-for-all-m-less-than-k
Smarandache-Wellin primes	rc-smarandache-wellin-primes
Smith numbers	rc-smith-numbers
Smith–Waterman algorithm	rc-smith-waterman-algorithm
Soloway's recurring rainfall	rc-soloway-s-recurring-rainfall
Solve a Hidato puzzle	rc-solve-a-hidato-puzzle
Solve a Holy Knight's tour	rc-solve-a-holy-knight-s-tour
Solve a Hopido puzzle	rc-solve-a-hopido-puzzle
Solve a Numbrix puzzle	rc-solve-a-numbrix-puzzle
Sorensen–Dice coefficient	rc-sorensen-dice-coefficient
Sort an outline at every level	rc-sort-an-outline-at-every-level
Sparkline in unicode	rc-sparkline-in-unicode
Specific characters	rc-specific-characters
Spelling of ordinal numbers	rc-spelling-of-ordinal-numbers
Sphenic numbers	rc-sphenic-numbers
Split a character string based on change of character	rc-split-a-character-string-based-on-change-of-character
Square but not cube	rc-square-but-not-cube
Square-free integers	rc-square-free-integers
Stair-climbing puzzle	rc-stair-climbing-puzzle
Start from a main routine	rc-start-from-a-main-routine
Statistics/Normal distribution	rc-statistics-normal-distribution
Stern-Brocot sequence	rc-stern-brocot-sequence
