category	display	page	task_entries	pct
Ksh	Ksh	Ksh	77	4.45%
Sinclair ZX81 BASIC	Sinclair ZX81 BASIC	Sinclair ZX81 BASIC	77	4.45%
Locomotive Basic	Locomotive Basic	Locomotive Basic	76	4.39%
Insitux	Insitux	Insitux	74	4.27%
Raven	Raven	Raven	74	4.27%
Component Pascal	Component Pascal	Component Pascal	73	4.21%
Craft Basic	Craft Basic	Craft Basic	72	4.16%
Sather	Sather	Sather	71	4.1%
Sed	Sed	Sed	71	4.1%
ABAP	ABAP	ABAP	70	4.04%
ALGOL 60	ALGOL 60	ALGOL 60	70	4.04%
Burlesque	Burlesque	Burlesque	70	4.04%
Neko	Neko	Neko	70	4.04%
S-BASIC	S-BASIC	S-BASIC	70	4.04%
Transd	Transd	Transd	70	4.04%
Quite BASIC	Quite BASIC	Quite BASIC	69	3.98%
XLISP	XLISP	XLISP	69	3.98%
EDSAC order code	EDSAC order code	EDSAC order code	68	3.93%
Ela	Ela	Ela	66	3.81%
Haxe	Haxe	Haxe	66	3.81%
ANSI BASIC	ANSI BASIC	ANSI BASIC	65	3.75%
Brat	Brat	Brat	65	3.75%
Odin	Odin	Odin	65	3.75%
Asymptote	Asymptote	Asymptote	64	3.7%
Ecstasy	Ecstasy	Ecstasy	64	3.7%
FOCAL	FOCAL	FOCAL	64	3.7%
Scilab	Scilab	Scilab	63	3.64%
Fennel	Fennel	Fennel	62	3.58%
IDL	IDL	IDL	61	3.52%
LabVIEW	LabVIEW	LabVIEW	61	3.52%
TypeScript	TypeScript	TypeScript	61	3.52%
Wart	Wart	Wart	61	3.52%
ColdFusion	ColdFusion	ColdFusion	59	3.41%
SequenceL	SequenceL	SequenceL	59	3.41%
FALSE	FALSE	FALSE	57	3.29%
ALGOL-M	ALGOL-M	ALGOL-M	56	3.23%
FBSL	FBSL	FBSL	56	3.23%
Microsoft Small Basic	Microsoft Small Basic	Microsoft Small Basic	56	3.23%
SAS	SAS	SAS	56	3.23%
SparForte	SparForte	SparForte	56	3.23%
PowerBASIC	PowerBASIC	PowerBASIC	55	3.18%
ABC	ABC	ABC	54	3.12%
QuickBASIC	QuickBASIC	QuickBASIC	52	3%
Binary Lambda Calculus	Binary Lambda Calculus	Binary Lambda Calculus	51	2.94%
Elm	Elm	Elm	50	2.89%
OpenEdge/Progress	OpenEdge/Progress	OpenEdge-Progress	50	2.89%
RapidQ	RapidQ	RapidQ	50	2.89%
SPL	SPL	SPL	50	2.89%
Verilog	Verilog	Verilog	50	2.89%
Lang5	Lang5	Lang5	49	2.83%
Rascal	Rascal	Rascal	49	2.83%
Metafont	Metafont	Metafont	47	2.71%
Caché ObjectScript	Caché ObjectScript	Caché ObjectScript	46	2.66%
Harbour	Harbour	Harbour	46	2.66%
Klingphix	Klingphix	Klingphix	46	2.66%
Uxntal	Uxntal	Uxntal	46	2.66%
DCL	DCL	DCL	45	2.6%
MIPS Assembly	MIPS Assembly	MIPS Assembly	45	2.6%
Chapel	Chapel	Chapel	44	2.54%
Toka	Toka	Toka	44	2.54%
Vim Script	Vim Script	Vim Script	44	2.54%
Inform 7	Inform 7	Inform 7	43	2.48%
LOLCODE	LOLCODE	LOLCODE	43	2.48%
NS-HUBASIC	NS-HUBASIC	NS-HUBASIC	43	2.48%
Wortel	Wortel	Wortel	43	2.48%
HolyC	HolyC	HolyC	42	2.42%
Sparkling	Sparkling	Sparkling	42	2.42%
Brainf***	Brainf***	Brainf***	41	2.37%
Q	Q	Q	41	2.37%
XSLT	XSLT	XSLT	41	2.37%
YAMLScript	YAMLScript	YAMLScript	41	2.37%
S-lang	S-lang	S-lang	40	2.31%
SQL PL	SQL PL	SQL PL	40	2.31%
Aikido	Aikido	Aikido	38	2.19%
Apex	Apex	Apex	38	2.19%
Bruijn	Bruijn	Bruijn	38	2.19%
Processing Python mode	Processing Python mode	Processing Python mode	38	2.19%
TAV	TAV	TAV	38	2.19%
TorqueScript	TorqueScript	TorqueScript	38	2.19%
VTL-2	VTL-2	VTL-2	38	2.19%
Yorick	Yorick	Yorick	38	2.19%
Babel	Babel	Babel	37	2.14%
Futhark	Futhark	Futhark	37	2.14%
Comal	Comal	Comal	36	2.08%
SuperCollider	SuperCollider	SuperCollider	36	2.08%
UnixPipes	UnixPipes	UnixPipes	36	2.08%
V	V	V	36	2.08%
Falcon	Falcon	Falcon	35	2.02%
Jakt	Jakt	Jakt	35	2.02%
Lisaac	Lisaac	Lisaac	35	2.02%
ReScript	ReScript	ReScript	35	2.02%
Genie	Genie	Genie	34	1.96%
GML	GML	GML	33	1.91%
PL/SQL	PL/SQL	PL-SQL	33	1.91%
WDTE	WDTE	WDTE	33	1.91%
XBS	XBS	XBS	33	1.91%
AmigaE	AmigaE	AmigaE	32	1.85%
I	I	I	32	1.85%
Nial	Nial	Nial	32	1.85%
Visual FoxPro	Visual FoxPro	Visual FoxPro	32	1.85%
X86-64 Assembly	X86-64 Assembly	X86-64 Assembly	32	1.85%
C Shell	C Shell	C Shell	31	1.79%
EGL	EGL	EGL	31	1.79%
Hy	Hy	Hy	31	1.79%
MiniZinc	MiniZinc	MiniZinc	31	1.79%
RLaB	RLaB	RLaB	31	1.79%
ASIC	ASIC	ASIC	30	1.73%
Diego	Diego	Diego	30	1.73%
Idris	Idris	Idris	30	1.73%
Gnuplot	Gnuplot	Gnuplot	29	1.67%
Hoon	Hoon	Hoon	29	1.67%
Smart BASIC	Smart BASIC	Smart BASIC	29	1.67%
Symsyn	Symsyn	Symsyn	29	1.67%
Zoea	Zoea	Zoea	29	1.67%
ECL	ECL	ECL	28	1.62%
Hexiscript	Hexiscript	Hexiscript	28	1.62%
Huginn	Huginn	Huginn	28	1.62%
Potion	Potion	Potion	28	1.62%
Slope	Slope	Slope	28	1.62%
Avail	Avail	Avail	27	1.56%
CMake	CMake	CMake	27	1.56%
GUISS	GUISS	GUISS	27	1.56%
Koka	Koka	Koka	27	1.56%
Latitude	Latitude	Latitude	27	1.56%
LIL	LIL	LIL	27	1.56%
MACRO-11	MACRO-11	MACRO-11	27	1.56%
Order	Order	Order	27	1.56%
Qi	Qi	Qi	27	1.56%
Zoea Visual	Zoea Visual	Zoea Visual	27	1.56%
Zonnon	Zonnon	Zonnon	27	1.56%
GDScript	GDScript	GDScript	26	1.5%
MIRC Scripting Language	MIRC Scripting Language	MIRC Scripting Language	26	1.5%
MLite	MLite	MLite	26	1.5%
REALbasic	REALbasic	REALbasic	26	1.5%
LDPL	LDPL	LDPL	25	1.44%
ObjectIcon	ObjectIcon	ObjectIcon	25	1.44%
PL/0	PL/0	PL-0	25	1.44%
PlainTeX	PlainTeX	PlainTeX	25	1.44%
Relation	Relation	Relation	25	1.44%
Limbo	Limbo	Limbo	24	1.39%
Nascom BASIC	Nascom BASIC	Nascom BASIC	24	1.39%
RATFOR	RATFOR	RATFOR	24	1.39%
SNUSP	SNUSP	SNUSP	24	1.39%
SSEM	SSEM	SSEM	24	1.39%
Astro	Astro	Astro	23	1.33%
Clean	Clean	Clean	23	1.33%
Clipper	Clipper	Clipper	23	1.33%
Janet	Janet	Janet	23	1.33%
Lobster	Lobster	Lobster	23	1.33%
Robotic	Robotic	Robotic	23	1.33%
Salmon	Salmon	Salmon	23	1.33%
Shen	Shen	Shen	23	1.33%
Atari BASIC	Atari BASIC	Atari BASIC	22	1.27%
Furor	Furor	Furor	22	1.27%
Klong	Klong	Klong	22	1.27%
ML	ML	ML	22	1.27%
Oberon-07	Oberon-07	Oberon-07	22	1.27%
OPL	OPL	OPL	22	1.27%
PILOT	PILOT	PILOT	22	1.27%
Stax	Stax	Stax	22	1.27%
Fish	Fish	Fish	21	1.21%
LLVM	LLVM	LLVM	21	1.21%
Mirah	Mirah	Mirah	21	1.21%
Peloton	Peloton	Peloton	21	1.21%
PHL	PHL	PHL	21	1.21%
Scratch	Scratch	Scratch	21	1.21%
Trith	Trith	Trith	21	1.21%
Wee Basic	Wee Basic	Wee Basic	21	1.21%
Beeswax	Beeswax	Beeswax	20	1.15%
Dragon	Dragon	Dragon	20	1.15%
Ioke	Ioke	Ioke	20	1.15%
Jactl	Jactl	Jactl	20	1.15%
ML/I	ML/I	ML-I	20	1.15%
OmniMark	OmniMark	OmniMark	20	1.15%
ChucK	ChucK	ChucK	19	1.1%
DBL	DBL	DBL	19	1.1%
Euler	Euler	Euler	19	1.1%
Make	Make	Make	19	1.1%
Peri	Peri	Peri	19	1.1%
Pony	Pony	Pony	19	1.1%
ProDOS	ProDOS	ProDOS	19	1.1%
Suneido	Suneido	Suneido	19	1.1%
Verbexx	Verbexx	Verbexx	19	1.1%
Argile	Argile	Argile	18	1.04%
C3	C3	C3	18	1.04%
Gosu	Gosu	Gosu	18	1.04%
Pascal-P	Pascal-P	Pascal-P	18	1.04%
Pure	Pure	Pure	18	1.04%
Transact-SQL	Transact-SQL	Transact-SQL	18	1.04%
Acornsoft Lisp	Acornsoft Lisp	Acornsoft Lisp	17	0.98%
Agda	Agda	Agda	17	0.98%
AmigaBASIC	AmigaBASIC	AmigaBASIC	17	0.98%
Beads	Beads	Beads	17	0.98%
Computer/zero Assembly	Computer/zero Assembly	Computer-zero Assembly	17	0.98%
GFA Basic	GFA Basic	GFA Basic	17	0.98%
Hare	Hare	Hare	17	0.98%
LSL	LSL	LSL	17	0.98%
Openscad	Openscad	Openscad	17	0.98%
Self	Self	Self	17	0.98%
SmileBASIC	SmileBASIC	SmileBASIC	17	0.98%
TSE SAL	TSE SAL	TSE SAL	17	0.98%
Xojo	Xojo	Xojo	17	0.98%
0815	0815	0815	16	0.92%
Evaldraw	Evaldraw	Evaldraw	16	0.92%
Isabelle	Isabelle	Isabelle	16	0.92%
N/t/roff	N/t/roff	N-t-roff	16	0.92%
Palo Alto Tiny BASIC	Palo Alto Tiny BASIC	Palo Alto Tiny BASIC	16	0.92%
Ursalang	Ursalang	Ursalang	16	0.92%
Arc	Arc	Arc	15	0.87%
Chef	Chef	Chef	15	0.87%
Dylan	Dylan	Dylan	15	0.87%
Fancy	Fancy	Fancy	15	0.87%
Friendly interactive shell	Friendly interactive shell	Friendly interactive shell	15	0.87%
PL/I-80	PL/I-80	PL-I-80	15	0.87%
Rapira	Rapira	Rapira	15	0.87%
Spin	Spin	Spin	15	0.87%
Whitespace	Whitespace	Whitespace	15	0.87%
XQuery	XQuery	XQuery	15	0.87%
Axiom	Axiom	Axiom	14	0.81%
Efene	Efene	Efene	14	0.81%
MMIX	MMIX	MMIX	14	0.81%
MOO	MOO	MOO	14	0.81%
OOC	OOC	OOC	14	0.81%
Ezhil	Ezhil	Ezhil	13	0.75%
Fe	Fe	Fe	13	0.75%
Komodo	Komodo	Komodo	13	0.75%
LaTeX	LaTeX	LaTeX	13	0.75%
Little	Little	Little	13	0.75%
Object Pascal	Object Pascal	Object Pascal	13	0.75%
RISC-V Assembly	RISC-V Assembly	RISC-V Assembly	13	0.75%
SPAD	SPAD	SPAD	13	0.75%
VAX Assembly	VAX Assembly	VAX Assembly	13	0.75%
VHDL	VHDL	VHDL	13	0.75%
ArnoldC	ArnoldC	ArnoldC	12	0.69%
Beef	Beef	Beef	12	0.69%
Egel	Egel	Egel	12	0.69%
Gema	Gema	Gema	12	0.69%
Golo	Golo	Golo	12	0.69%
Halon	Halon	Halon	12	0.69%
LSE64	LSE64	LSE64	12	0.69%
Lucid	Lucid	Lucid	12	0.69%
MontiLang	MontiLang	MontiLang	12	0.69%
Panda	Panda	Panda	12	0.69%
Rhombus	Rhombus	Rhombus	12	0.69%
Rocq	Rocq	Rocq	12	0.69%
SystemVerilog	SystemVerilog	SystemVerilog	12	0.69%
Arendelle	Arendelle	Arendelle	11	0.64%
BootBASIC	BootBASIC	BootBASIC	11	0.64%
Coco	Coco	Coco	11	0.64%
Creative Basic	Creative Basic	Creative Basic	11	0.64%
Dao	Dao	Dao	11	0.64%
Dt	Dt	Dt	11	0.64%
Frege	Frege	Frege	11	0.64%
FTCBASIC	FTCBASIC	FTCBASIC	11	0.64%
GlovePIE	GlovePIE	GlovePIE	11	0.64%
Inform 6	Inform 6	Inform 6	11	0.64%
Never	Never	Never	11	0.64%
OASYS Assembler	OASYS Assembler	OASYS Assembler	11	0.64%
Pointless	Pointless	Pointless	11	0.64%
Pure Data	Pure Data	Pure Data	11	0.64%
RPG	RPG	RPG	11	0.64%
Shale	Shale	Shale	11	0.64%
TMG	TMG	TMG	11	0.64%
Unlambda	Unlambda	Unlambda	11	0.64%
WebAssembly	WebAssembly	WebAssembly	11	0.64%
App Inventor	App Inventor	App Inventor	10	0.58%
AsciiDots	AsciiDots	AsciiDots	10	0.58%
AutoLISP	AutoLISP	AutoLISP	10	0.58%
Blz	Blz	Blz	10	0.58%
CBASIC	CBASIC	CBASIC	10	0.58%
Gleam	Gleam	Gleam	10	0.58%
IWBASIC	IWBASIC	IWBASIC	10	0.58%
KonsolScript	KonsolScript	KonsolScript	10	0.58%
NGS	NGS	NGS	10	0.58%
Nom	Nom	Nom	10	0.58%
POV-Ray	POV-Ray	POV-Ray	10	0.58%
Rockstar	Rockstar	Rockstar	10	0.58%
Snobol	Snobol	Snobol	10	0.58%
Zoomscript	Zoomscript	Zoomscript	10	0.58%
8051 Assembly	8051 Assembly	8051 Assembly	9	0.52%
Bait	Bait	Bait	9	0.52%
Brlcad	Brlcad	Brlcad	9	0.52%
Clay	Clay	Clay	9	0.52%
Eero	Eero	Eero	9	0.52%
Gecho	Gecho	Gecho	9	0.52%
Genyris	Genyris	Genyris	9	0.52%
Integer BASIC	Integer BASIC	Integer BASIC	9	0.52%
Lily	Lily	Lily	9	0.52%
Little Man Computer	Little Man Computer	Little Man Computer	9	0.52%
Mathprog	Mathprog	Mathprog	9	0.52%
Monte	Monte	Monte	9	0.52%
Morfa	Morfa	Morfa	9	0.52%
Piet	Piet	Piet	9	0.52%
Polyglot:PL/I and PL/M	Polyglot:PL/I and PL/M	Polyglot:PL-I and PL-M	9	0.52%
PROMAL	PROMAL	PROMAL	9	0.52%
Ra	Ra	Ra	9	0.52%
Terraform	Terraform	Terraform	9	0.52%
TI SR-56	TI SR-56	TI SR-56	9	0.52%
UTFool	UTFool	UTFool	9	0.52%
Vorpal	Vorpal	Vorpal	9	0.52%
Apple	Apple	Apple	8	0.46%
Aquarius BASIC	Aquarius BASIC	Aquarius BASIC	8	0.46%
Calcscript	Calcscript	Calcscript	8	0.46%
Clio	Clio	Clio	8	0.46%
CLIPS	CLIPS	CLIPS	8	0.46%
Curry	Curry	Curry	8	0.46%
Egison	Egison	Egison	8	0.46%
Es	Es	Es	8	0.46%
FuncSug	FuncSug	FuncSug	8	0.46%
GLSL	GLSL	GLSL	8	0.46%
LC3 Assembly	LC3 Assembly	LC3 Assembly	8	0.46%
Lhogho	Lhogho	Lhogho	8	0.46%
LSE	LSE	LSE	8	0.46%
Luck	Luck	Luck	8	0.46%
Mathcad	Mathcad	Mathcad	8	0.46%
NESL	NESL	NESL	8	0.46%
NetLogo	NetLogo	NetLogo	8	0.46%
Nit	Nit	Nit	8	0.46%
Nutt	Nutt	Nutt	8	0.46%
Onyx	Onyx	Onyx	8	0.46%
SASL	SASL	SASL	8	0.46%
Shiny	Shiny	Shiny	8	0.46%
SPARK	SPARK	SPARK	8	0.46%
BlitzMax	BlitzMax	BlitzMax	7	0.4%
Blue	Blue	Blue	7	0.4%
CFEngine	CFEngine	CFEngine	7	0.4%
EC	EC	EC	7	0.4%
Elisa	Elisa	Elisa	7	0.4%
FUZE BASIC	FUZE BASIC	FUZE BASIC	7	0.4%
Lean	Lean	Lean	7	0.4%
LotusScript	LotusScript	LotusScript	7	0.4%
MoonScript	MoonScript	MoonScript	7	0.4%
Niue	Niue	Niue	7	0.4%
Nix	Nix	Nix	7	0.4%
Pebble	Pebble	Pebble	7	0.4%
ProgressBASIC	ProgressBASIC	ProgressBASIC	7	0.4%
Set lang	Set lang	Set lang	7	0.4%
SIL	SIL	SIL	7	0.4%
Tbas	Tbas	Tbas	7	0.4%
TI-57	TI-57	TI-57	7	0.4%
Visual Prolog	Visual Prolog	Visual Prolog	7	0.4%
Wrapl	Wrapl	Wrapl	7	0.4%
XProfan	XProfan	XProfan	7	0.4%
XTalk	XTalk	XTalk	7	0.4%
4DOS Batch	4DOS Batch	4DOS Batch	6	0.35%
4ME	4ME	4ME	6	0.35%
Alore	Alore	Alore	6	0.35%
ANTLR	ANTLR	ANTLR	6	0.35%
BabyCobol	BabyCobol	BabyCobol	6	0.35%
Boo	Boo	Boo	6	0.35%
Comefrom0x10	Comefrom0x10	Comefrom0x10	6	0.35%
DIBOL-11	DIBOL-11	DIBOL-11	6	0.35%
DM	DM	DM	6	0.35%
DUP	DUP	DUP	6	0.35%
Extended Color BASIC	Extended Color BASIC	Extended Color BASIC	6	0.35%
Fexl	Fexl	Fexl	6	0.35%
Fortress	Fortress	Fortress	6	0.35%
Gastona	Gastona	Gastona	6	0.35%
Gri	Gri	Gri	6	0.35%
Intercal	Intercal	Intercal	6	0.35%
